Department,Major,Degree,School,Course Title,Course Description,Cost
General Services,Women's Studies,Bachelors (BA/BS),MORGAN STATE UNIVERSITY,SOCIAL THEORY,This course involves a survey of the social thought as expressed by representative theorists in ideas of Different periods. The purpose of this course is to provide students with a comprehensive background and a perspective for understanding social thought from a historical and contemporary perspective.,700.00
Police,Not Listed,Bachelors (BA/BS),FRANKLIN UNIVERSITY,ENG*130-H2WW RESEARCH PAPER,"This is a writing course designed to help students successfully complete college writing projects that require research and documentation skills. Students study methods for using a library, gathering information, summarizing and synthesizing material, and writing and documenting a research paper. The course reviews and emphasizes elements of good writing such as unity, coherence, clarity, and appropriate grammar and mechanics. The course will also cover the appropriate application of APA citation and formatting guidelines.",308.20
Police,Other/Misc.,Certificate,"Force Science Institute, LTD.",FORCE SCIENCE CERTIFICATION COURSE,"Uncovering the scientific realities surrounding officer performance under stress, action/reaction time, memory, decision-making and more in complex, rapidly unfolding encounters.

The Force Science Certification Course is designed to help you:

Develop understanding of officer performance
Revolutionize your training programs
Support community and media relation efforts
Counter unfounded accusations of misconduct
Enhance investigations
Inform policy decisions
Improve post-event interviews
Evaluate tactics and force options",1399.00
Fire/Rescue Services,Engineering (Undecided),Masters (MA/MS/MPH/etc.),GEORGE WASHINGTON UNIVERSITY,EMSE 6306 CRISIS & EMERGENCY MANAGEMENT AND SYSTEMS ENGINEERING,"Defining crises, emergencies, and disasters; developing crisis, business continuity, and incident management plans within robust emergency management programs; National Response Framework and National Incident Management System; organizing for response, managing the response organization, managing in a turbulent environment, and crisis decision making and communication.",1830.00
Fire/Rescue Services,Business/Admin./Mgmt.,Bachelors (BA/BS),Southern New Hampshire University,"QSO-321 PEOPLE, PLANET, AND PROFIT","Students will evaluate business operations for their efficiency, effectiveness, and quality. Through learning to balance operations decisions, students will be able to support the long-term sustainability and maintain ethical standards of the organization. Students will also learn to make recommendations on operations that increase value to the organization and customer.",990.00
Police,Information Technology,Bachelors (BA/BS),University of Maryland Global Campus,MOBILE FORENSICS,A project-driven study of mobile devices from a forensic perspective that is designed to enable the investigator to implement various techniques to collect and analyze information from mobile devices used in forensic investigations.,999.00
Police,Computer Science,AA,FREDERICK COMMUNITY COLLEGE,CMIS 280 NETWORKING FUNDAMENTALS,"REVIEWS HARDWARE, OPERATING SYSTEMS, AND OTHER COMPUTER NETWORKING PRINCIPLES.",475.02
Community Use Public Facilities,Accounting (Business),Certificate,Montgomery College Rockville Campus,ACCOUNTING 222,"The study and analysis of managerial accounting. Topics include cost accumulation, evaluation, and analysis for decision making, as well as coverage of the statement of cash flows and financial statement analysis.",528.00
Police,Not Listed,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,COMMUNITY CHAPLAINCY,"This course examines a biblical approach to providing chaplain ministry in pluralistic and secular community settings. Attention is given to providing Christocentric chaplain leadership and spiritual care within the context of corporations, colleges, sports organizations, first response teams, and prison systems.",768.25
Police,Not Listed,Bachelors (BA/BS),FRANKLIN UNIVERSITY,PF*321-F4WW LEARNING STRATEGIES,"This course prepares students to be successful lifelong learners both academically and in their chosen careers. Franklin courses require a high level of self-directed learning and focus on skills required in the workplace and the classroom that are easily transferable between the two environments. The course includes strategies for advancing communication skills, including the use of electronic tools to participate in virtual environments. The assignments and activities in the course are created to closely simulate teamwork found in the workplace.",308.20
Community Use Public Facilities,Accounting (Business),Certificate,Montgomery College Rockville Campus,WORD PROCESSING APPLICATIONS,"Designed to enable students to acquire Microsoft Word MOS expert certification which demonstrates that students can apply the product's principal features at an advanced level, can complete expert tasks independently, and are well prepared to succeed in the job market.",396.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,UNITED STATES GOVERNMENT,"Explores the origins, entities, processes, and functions of American government and its political system. Students investigate their own impact as a participant as well as the influential roles of political parties, interest groups, and the media.",764.00
Police,Foreign Language Education,AA,FREDERICK COMMUNITY COLLEGE,INTP 228 - INTERPRETING ENVIRONMENTS,Increases knowledge of environment/setting specific terminology and expectations. Discusses the roles and responsibilities within team interpreting. Briefly discusses various interpreting environments.,158.34
